,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
489,Lagoa,PT,68.47,overcast clouds,39.05,-27.9833,Casa Das Faias
493,Coroico,BO,60.87,light rain,-16.1889,-67.7271,Villa Saracena
494,Springdale,US,68.59,clear sky,36.1867,-94.1288,Springdale Inn
495,Morropon,PE,69.53,broken clouds,-5.1822,-79.9689,panaderia jeffeson
496,Girau Do Ponciano,BR,64.36,clear sky,-9.8842,-36.8289,
497,Basoko,CD,68.83,overcast clouds,1.2391,23.616,Jackyna Hotel
500,Villa Rica,US,65.79,few clouds,33.7321,-84.9191,Super 8 by Wyndham Villa Rica
504,Alanya,TR,75.81,clear sky,36.5438,31.9998,Panorama Hotel
506,Awbari,LY,71.33,broken clouds,26.5921,12.7805,استراحة الشارب العائلي
508,Nizwa,OM,75.69,clear sky,22.9333,57.5333,Orient Apartments
509,Firozpur Jhirka,IN,80.08,clear sky,27.8,76.95,MOHD MUBARIQUE J.E.
510,Robertsport,LR,76.28,broken clouds,6.7533,-11.3686,Kwepunha Retreat
512,Paciran,ID,83.71,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
513,Caarapo,BR,64.44,clear sky,-22.6342,-54.8222,Hotel Pousada Quinta do Sul
514,San Joaquin,US,79.34,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
515,Sechura,PE,62.98,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
516,Fort-Shevchenko,KZ,60.71,clear sky,44.5086,50.263,Oasis hotel Bautino
519,Raga,SS,68.56,light rain,8.4596,25.678,
520,Mabaruma,GY,74.89,few clouds,8.2,-59.7833,Monty Brooms Guest House
521,Pamanukan,ID,84.24,overcast clouds,-6.2842,107.8106,Paris Day Hotel Pamanukan
522,Teahupoo,PF,69.76,light rain,-17.8333,-149.2667,Vanira Lodge
523,Sur,OM,77.43,clear sky,22.5667,59.5289,Sur Plaza Hotel
